,Unnamed: 0,ID,Shape_Leng,Shape_Area,GitesMiné,Superficie,Info_Gite,geometry
0,0,1.0,130695.740035,-668377288.253,Plomb,0.0,Plomb,"POLYGON Z ((809205.3245999999 1505611.8771000002 0, 805943.5323999999 1507203.4031000007 0, 803810.1676000003 1509641.4669000003 0, 802591.102 1512689.0065000001 0, 802895.8684 1516041.2841999996 0, 800762.7674000002 1518174.4499999993 0, 795276.9720999999 1508422.3550000004 0, 793753.4040000001 1497451.3881 0, 791620.0390999997 1489223.0629999992 0, 791924.8054999998 1478251.9361000005 0, 788420.2227999996 1463569.0448000003 0, 790401.0724999998 1465778.5050000008 0, 792153.4133000001 1466921.3224 0, 794667.6701999996 1467835.5863000005 0, 796419.9451000001 1467149.8859 0, 797777.0049 1465689.2131999992 0, 799300.8369000005 1471174.7865999993 0, 804786.4013999999 1477117.4570000004 0, 809510.0168000003 1481688.7566 0, 811948.0160999997 1485802.9190999996 0, 811795.6328999996 1490831.3555999994 0, 809510.0168000003 1494640.7601999994 0, 808595.6020999998 1498450.1747999992 0, 809205.3245999999 1505611.8771000002 0, 809205.3245999999 1505611.8771000002 0))"
1,1,1.0,29896.7727136,23811916.7415,Plomb,0.0,Plomb,"POLYGON Z ((785096.5043000001 1433399.6557 0, 790401.0559999999 1435396.0592999998 0, 789696.3826000001 1433491.3369999994 0, 790458.2986000003 1432119.9561 0, 791829.6155000003 1431358.0712000001 0, 793353.4227999998 1431281.8867000006 0, 794820.0368999997 1432348.5196000002 0, 794696.2503000004 1427761.7432000004 0, 785096.5043000001 1433399.6557 0))"
2,2,1.0,63882.90955,-273108940.421,Plomb,0.0,Plomb,"POLYGON Z ((759644.8812999995 1396472.1820999999 0, 758735.3893999998 1393771.0719000008 0, 757516.3238000004 1392266.3582000006 0, 754316.4084999999 1390514.0249000005 0, 751192.7506999997 1390209.2769000009 0, 751221.3225999996 1388311.7031999994 0, 753126.0137 1383664.2192000002 0, 758078.2039000001 1380388.1260000002 0, 765697.0341999996 1379092.9196000006 0, 770877.8651999999 1382064.264799999 0, 772858.7807999998 1386787.9332999997 0, 772782.5892000003 1391511.6118 0, 770920.7435999997 1395710.2972 0, 765206.6043999996 1395862.6762000006 0, 759644.8812999995 1396472.1820999999 0))"
3,3,1.0,160873.051902,-742320180.545,Plomb,0.0,Plomb,"POLYGON Z ((827300.0383000001 1420204.7613999993 0, 823628.7328000003 1425136.8275000006 0, 822943.0412999997 1428031.9781999998 0, 824314.4242000002 1430317.6229999997 0, 825723.8781000003 1431437.835000001 0, 824366.7770999996 1433918.7200000007 0, 821624.0114000002 1435213.9164000005 0, 820100.2452999996 1439937.5848999992 0, 819414.5208999999 1443213.6879999992 0, 819109.8203999996 1445499.332800001 0, 818424.0959999999 1447175.4715999998 0, 817509.8628000002 1448013.5409999993 0, 816671.7303999998 1448318.2890000008 0, 805395.9012000002 1449537.3008999992 0, 799910.3698000005 1452889.5785000008 0, 794762.9014999997 1450786.0767 0, 794591.4786 1450693.2256000005 0, 794853.3749000002 1450647.9947999995 0, 795938.6352000004 1450647.9947999995 0, 798313.5784999998 1450369.0715999994 0, 800000.8267000001 1449681.3516000006 0, 800305.5931000002 1448767.0976999998 0, 800457.9763000002 1447243.3278 0, 800115.1140999999 1445567.1889999993 0, 799238.9435999999 1443624.3844000008 0, 798210.4230000004 1442786.3149999995 0, 796610.4653000003 1442214.9013 0, 794896.2203000002 1442481.5670999996 0, 792839.1459999997 1443281.5441999994 0, 791391.5714999996 1444424.3616000004 0, 788115.4398999996 1443472.0055 0, 780906.1642000005 1434771.0565000009 0, 785096.5043000001 1433399.6557 0, 790401.0559999999 1435396.0592999998 0, 794972.4200999998 1439662.5909000002 0, 797867.5690000001 1439357.8329000007 0, 797562.8026 1437072.1981000006 0, 794820.0368999997 1432348.5196000002 0, 794696.2503000004 1427761.7432000004 0, 799419.8657 1425780.8663999997 0, 800791.2485999996 1424485.6501000002 0, 800943.6317999996 1423495.2116999999 0, 800481.7819999997 1422642.8452000003 0, 807338.7622999996 1423099.9921000004 0, 815871.8257999998 1422947.5831000004 0, 821204.9740000004 1422490.4761999995 0, 824557.2725999998 1421728.5912999995 0, 827300.0383000001 1420204.7613999993 0))"
4,4,2.0,61161.4984383,186628794.769,"Diamant, Lithium, Marbre",0.0,"Diamant, Lithium, Marbre","POLYGON Z ((874641.5165999997 1470380.7382999994 0, 875403.3666000003 1470152.1848000009 0, 876241.4742 1468856.9883999992 0, 877612.8570999997 1468095.1034999993 0, 877612.8570999997 1467028.4605999999 0, 875708.1330000004 1465352.321799999 0, 874946.2829999998 1463904.7364000008 0, 874641.5165999997 1462533.3555999994 0, 875174.8578000003 1461466.7127 0, 877079.5159 1461314.3436999992 0, 879517.5811999999 1460781.0322999991 0, 879834.1968 1458935.8278 0, 872748.7078 1458707.2743999995 0, 872710.6119999997 1457107.33 0, 872024.9205 1456040.6871000007 0, 870424.9959000004 1456307.3529000003 0, 864748.9523999998 1456116.8816 0, 863491.8569999998 1457069.2278000005 0, 862310.9779000003 1458935.7979000006 0, 861091.9122000001 1462897.6314000003 0, 861853.8283000002 1466859.4049999993 0, 863987.0612000003 1467926.0679000001 0, 865206.1267999997 1468230.8059 0, 867948.8925000001 1470516.4605999999 0, 873739.1902999999 1470516.4605999999 0, 874641.5165999997 1470380.7382999994 0))"
5,5,3.0,31173.3218549,60321642.8682,Lithium,0.0,Lithium,"POLYGON Z ((880250.9006000003 1406109.9903999995 0, 883526.9910000004 1405538.5767 0, 883627.0049 1398492.3608999997 0, 883493.6695999997 1397178.1184 0, 875439.1947999997 1399549.4658000004 0, 876048.4638 1402749.3743999992 0, 876048.4638 1406254.0210999995 0, 879298.5385999996 1406567.1272999998 0, 880250.9006000003 1406109.9903999995 0))"
6,6,4.0,35907.0777346,76498948.7097,Nikel,0.0,,"POLYGON Z ((795938.6352000004 1450647.9947999995 0, 798313.5784999998 1450369.0715999994 0, 800000.8267000001 1449681.3516000006 0, 800305.5931000002 1448767.0976999998 0, 800457.9763000002 1447243.3278 0, 800115.1140999999 1445567.1889999993 0, 799238.9435999999 1443624.3844000008 0, 798210.4230000004 1442786.3149999995 0, 796610.4653000003 1442214.9013 0, 794896.2203000002 1442481.5670999996 0, 792839.1459999997 1443281.5441999994 0, 791391.5714999996 1444424.3616000004 0, 788115.4398999996 1443472.0055 0, 789867.7971999999 1449931.3407000005 0, 791239.1801000005 1449550.3981999997 0, 792686.7544999998 1449550.3981999997 0, 794591.4786 1450693.2256000005 0, 795938.6352000004 1450647.9947999995 0))"
7,7,5.0,138412.910157,800161188.686,"Or, Uranium",0.0,Nikel,"POLYGON Z ((785096.5043000001 1433399.6557 0, 791496.335 1429590.2709999997 0, 794696.2503000004 1427761.7432000004 0, 799419.8657 1425780.8663999997 0, 800791.2485999996 1424485.6501000002 0, 800943.6317999996 1423495.2116999999 0, 800481.7819999997 1422642.8452000003 0, 795834.2758 1421157.1776 0, 795529.5093 1417500.142000001 0, 794462.8929000003 1413538.3484000005 0, 791415.3607999999 1411176.5190999992 0, 787377.4038000004 1409728.9438000005 0, 781739.4891999997 1409957.5072000008 0, 778615.7654999997 1411709.830600001 0, 776634.8498 1414300.2333000004 0, 775111.0837000003 1416509.6936000008 0, 773663.5093 1416662.0724999998 0, 771758.8181999996 1416128.7511 0, 770463.5939999996 1414376.4277999997 0, 769092.2111 1410109.8761999998 0, 767873.2114000004 1407443.2890000008 0, 767339.9031999996 1405767.1502 0, 767035.1368000004 1403633.8743999992 0, 766882.7536000004 1402186.2990000006 0, 765968.4874 1401348.2295999993 0, 760940.0725999996 1401348.2295999993 0, 758044.9237000002 1401195.8506000005 0, 757130.6573999999 1401576.7930999994 0, 756749.7159000002 1403100.5529999994 0, 757587.7905000001 1409728.9438000005 0, 759416.3065 1412547.9100000001 0, 759797.2479999997 1416204.9455999993 0, 760330.5728000002 1419557.2232000008 0, 761092.4557999996 1419785.7766999993 0, 763225.7216999996 1420090.5347000007 0, 764216.1794999996 1420852.4196000006 0, 764825.6793 1427252.2369 0, 765973.2699999996 1431190.2053999994 0, 767344.6528000003 1432866.3641999997 0, 773439.7171 1434542.4629999995 0, 780906.1642000005 1434771.0565000009 0, 785096.5043000001 1433399.6557 0))"
8,8,7.0,285474.804428,-2718342735.27,Or,0.0,,"POLYGON Z ((817966.9628999997 1516506.7994 0, 814767.0476000002 1510640.3035000004 0, 809205.3245999999 1505611.8771000002 0, 808595.6020999998 1498450.1747999992 0, 809510.0168000003 1494640.7601999994 0, 811795.6328999996 1490831.3555999994 0, 811948.0160999997 1485802.9190999996 0, 809510.0168000003 1481688.7566 0, 804786.4013999999 1477117.4570000004 0, 799300.8369000005 1471174.7865999993 0, 797777.0049 1465689.2131999992 0, 797777.0049 1457460.8881 0, 799910.3698000005 1452889.5785000008 0, 805395.9012000002 1449537.3008999992 0, 816671.7303999998 1448318.2890000008 0, 817509.8628000002 1448013.5409999993 0, 818424.0959999999 1447175.4715999998 0, 819109.8203999996 1445499.332800001 0, 819414.5208999999 1443213.6879999992 0, 820100.2452999996 1439937.5848999992 0, 821624.0114000002 1435213.9164000005 0, 824366.7770999996 1433918.7200000007 0, 827985.7297 1433613.9619999994 0, 830423.7620000001 1434261.5602000002 0, 832404.6776999999 1435975.7913000006 0, 833357.0396999996 1438223.3538000006 0, 833623.6772999996 1440547.0908000004 0, 834728.4638 1442527.9876000006 0, 837166.3311999999 1444356.4954000004 0, 842651.8625999996 1446489.7811999992 0, 844937.6189000001 1448470.6679999996 0, 846461.3190000001 1451822.9656000007 0, 848137.5341999996 1455480.0012999997 0, 850118.3838999998 1456851.382099999 0, 855299.1489000004 1458832.2788999993 0, 860022.8963000001 1463403.5884000007 0, 861089.4467000002 1465689.2031999994 0, 860327.6627000002 1468736.742900001 0, 860327.6627000002 1471631.9135999996 0, 861051.4499000004 1473117.5712000001 0, 862308.5453000003 1474069.9273000006 0, 863299.0032000002 1474108.0196000002 0, 865279.9188000001 1473765.169399999 0, 866651.3016999997 1472965.1921999995 0, 868936.9672999997 1471403.3400999997 0, 870460.6673999997 1471479.5245999992 0, 872898.6584000001 1471784.2826000005 0, 869470.2342999997 1475441.3181999996 0, 869393.9767000005 1480164.9767000005 0, 865889.4269000003 1480393.5502000004 0, 865813.1694 1483288.7008999996 0, 858880.0635000002 1482983.9429000001 0, 858422.9139 1484202.9548000004 0, 857432.4890000001 1485269.5976999998 0, 853089.7655999996 1485117.2287000008 0, 852556.4243999999 1483898.2168000005 0, 852023.1491999999 1482374.4470000006 0, 851718.3827999998 1480926.8616000004 0, 851337.4248000002 1480241.1811999995 0, 850499.3831000002 1479631.6653000005 0, 850346.9999000002 1477117.4570000004 0, 847299.4677999998 1475517.5026999991 0, 846766.1266000001 1473536.6059000008 0, 844023.3608999997 1473688.9748999998 0, 843413.8280999996 1475898.4452 0, 841737.6787999999 1478565.0223999992 0, 839071.1047 1480698.3081999999 0, 837394.9554000003 1481460.1930999998 0, 837318.7637999998 1482907.7584000006 0, 837852.1050000004 1485193.4132000003 0, 838690.2127 1486107.6670999993 0, 839909.2122999998 1487250.454500001 0, 839833.0207000002 1488698.0798000004 0, 838614.0210999995 1490526.5876000002 0, 836252.1474000001 1492431.299900001 0, 832747.5316000003 1495021.6927000005 0, 831147.574 1495859.7621 0, 829242.8498999998 1496697.8314999994 0, 828100.0417999998 1497916.8234 0, 827185.7756000003 1500126.3036000002 0, 826500.0842000004 1500964.3730999995 0, 825281.0515000001 1501269.1109999996 0, 824595.3601000002 1501954.8114999998 0, 824366.8183000004 1504316.6506999992 0, 820557.4031999996 1507592.7539000008 0, 820481.2116 1511478.3530000001 0, 817966.9628999997 1516506.7994 0, 817966.9628999997 1516506.7994 0))"
9,9,7.0,370319.734021,-2645955883.47,Or,0.0,,"POLYGON Z ((795834.2758 1421157.1776 0, 795529.5093 1417500.142000001 0, 794462.8929000003 1413538.3484000005 0, 791415.3607999999 1411176.5190999992 0, 787377.4038000004 1409728.9438000005 0, 781739.4891999997 1409957.5072000008 0, 778615.7654999997 1411709.830600001 0, 776634.8498 1414300.2333000004 0, 775111.0837000003 1416509.6936000008 0, 773663.5093 1416662.0724999998 0, 771758.8181999996 1416128.7511 0, 770463.5939999996 1414376.4277999997 0, 769092.2111 1410109.8761999998 0, 767873.2114000004 1407443.2890000008 0, 767339.9031999996 1405767.1502 0, 767035.1368000004 1403633.8743999992 0, 766882.7536000004 1402186.2990000006 0, 765968.4874 1401348.2295999993 0, 763835.2215 1401348.2295999993 0, 760940.0725999996 1401348.2295999993 0, 758044.9237000002 1401195.8506000005 0, 757130.6573999999 1401576.7930999994 0, 756749.7159000002 1403100.5529999994 0, 757054.4823000003 1405538.5866999999 0, 757587.7905000001 1409728.9438000005 0, 759416.3065 1412547.9100000001 0, 759797.2479999997 1416204.9455999993 0, 760330.5728000002 1419557.2232000008 0, 761092.4557999996 1419785.7766999993 0, 763225.7216999996 1420090.5347000007 0, 764216.1794999996 1420852.4196000006 0, 764825.6793 1427252.2369 0, 763759.0299000004 1428318.8597999997 0, 761625.7640000004 1428699.7822999991 0, 759263.9397999998 1428547.4133000001 0, 756978.2906999998 1426337.943 0, 755149.7747 1422452.3739 0, 754006.9501999998 1418795.3383000009 0, 751721.3010999998 1414681.1757999994 0, 749892.7768999999 1411938.3939999994 0, 749283.2770999996 1410338.4397 0, 748978.5188999996 1407824.2314999998 0, 749435.6519999998 1405767.1502 0, 751264.1679999996 1402643.426000001 0, 753321.2505000001 1399824.4597999994 0, 755835.4661999997 1397995.9419999998 0, 759644.8812999995 1396472.1820999999 0, 765206.6043999996 1395862.6762000006 0, 770920.7435999997 1395710.2972 0, 776787.233 1397462.6305 0, 779301.4238999998 1401119.6662000008 0, 781739.4891999997 1401805.3565999996 0, 785015.5301000001 1401652.9776000008 0, 789663.0198999997 1400357.7811999992 0, 794843.8509 1398224.5055 0, 796596.1918000001 1398072.136499999 0, 797967.5745999999 1398453.0789 0, 798805.6162999999 1399214.9539 0, 800253.1907000002 1401272.0351 0, 801624.5735999998 1402567.2414999995 0, 803529.2977 1403557.6898999996 0, 804900.6804999998 1403633.8743999992 0, 806348.2549999999 1403557.6898999996 0, 807872.0209999997 1403176.7474000007 0, 809471.9786999999 1402414.8625000007 0, 811757.5453000003 1397386.4360000007 0, 813586.1436999999 1387329.6031 0, 813586.1436999999 1382758.2936000004 0, 813090.9396000002 1372853.819599999 0, 814157.5559999999 1373882.360200001 0, 815376.5557000004 1374606.1528999992 0, 816824.1300999997 1375063.2798999995 0, 818995.5000999998 1375558.4990999997 0, 820062.1164999995 1375710.8780000005 0, 820747.8409000002 1375482.3146000002 0, 822347.7986000003 1374568.0506999996 0, 823490.6065999996 1373577.6022999994 0, 824176.2651000004 1373120.4752999991 0, 824633.4146999996 1372891.9118000008 0, 825395.3306999998 1372663.3484000005 0, 827300.0548 1372739.5329 0, 829052.3956000004 1372815.7272999994 0, 830042.8205000004 1373272.8542999998 0, 831338.0116999997 1374263.3027 0, 833166.4616999999 1375482.3146000002 0, 834080.7609999999 1375863.2569999993 0, 834995.0602000002 1376472.7630000003 0, 836061.7426000005 1377539.3959 0, 836823.5267000003 1377767.9593000002 0, 837509.3170999996 1377158.453400001 0, 837433.0595000004 1375710.8780000005 0, 838118.7178999996 1375253.7511 0, 839033.0170999998 1374796.6141 0, 840785.358 1374415.6817000005 0, 841547.2740000002 1373349.0387999993 0, 842537.6741000004 1372282.4058999997 0, 844670.9069999997 1372206.2214000002 0, 847261.2895 1372663.3484000005 0, 851070.7128999997 1371596.7155000009 0, 852823.0537999999 1371444.3365000002 0, 854804.0354000004 1371291.9574999996 0, 856403.9930999996 1372053.8423999995 0, 857394.4178999998 1372663.3484000005 0, 859603.9084000001 1372815.7272999994 0, 860670.5248999996 1374187.1082000006 0, 861051.4168999996 1375558.4990999997 0, 860975.2253 1376777.5109 0, 860213.3753000004 1378529.8442000002 0, 858537.2259999998 1381348.8104999997 0, 856023.0351 1384091.5822 0, 853280.2693999996 1385920.1099999994 0, 850156.5456999997 1388281.9291999992 0, 848861.2884 1389881.8836000003 0, 848251.8216000004 1391024.7109999992 0, 848099.4384000003 1393310.365700001 0, 848556.5880000005 1395215.0779999997 0, 850080.2880999995 1398643.5001999997 0, 850156.4879000001 1399938.7365000006 0, 849851.7874999996 1401843.4487999994 0, 848937.4883000003 1403291.0341999996 0, 846804.2554000001 1404890.9684999995 0, 845585.2556999996 1405424.2599999998 0, 838728.3167000003 1409386.0835999995 0, 834004.6353000002 1413500.2460999992 0, 829585.7204 1418071.5156999994 0, 827300.0383000001 1420204.7613999993 0, 824557.2725999998 1421728.5912999995 0, 821204.9740000004 1422490.4761999995 0, 815871.8257999998 1422947.5831000004 0, 807338.7622999996 1423099.9921000004 0, 800481.7819999997 1422642.8452000003 0, 795834.2758 1421157.1776 0, 795834.2758 1421157.1776 0))"
10,10,7.0,98637.3476357,332445498.731,Or,0.0,,"POLYGON Z ((886879.2566 1419671.5099999998 0, 887336.4062000001 1415252.5693999995 0, 888402.9567 1413119.3236999996 0, 891298.1056000004 1410528.9309 0, 893545.7248 1409157.5200999994 0, 892479.1084000003 1409119.4277999997 0, 891145.8213 1409195.6223000009 0, 889660.1511000004 1409157.5200999994 0, 888822.0763999997 1409043.2433000002 0, 888745.8848000001 1408395.6451999992 0, 888593.5016000001 1407481.3812000006 0, 888631.5974000003 1406567.1272999998 0, 888479.2142000003 1405729.0479000006 0, 887984.0017999997 1405500.4845000003 0, 887336.4062000001 1405348.1154999994 0, 887145.9271999998 1404662.414999999 0, 886726.9062999999 1404586.2304999996 0, 885812.6401000004 1405157.644200001 0, 885431.6820999999 1405576.6788999997 0, 884784.0865000002 1405386.2076999992 0, 883526.9910000004 1405538.5767 0, 881812.7624000004 1405881.4268999994 0, 880250.9006000003 1406109.9903999995 0, 879298.5385999996 1406567.1272999998 0, 878879.5176999997 1407748.0370000005 0, 878955.6928000003 1408890.8643999994 0, 879565.2092000004 1410452.726399999 0, 880327.0921999998 1411824.1173 0, 880403.2838000003 1412624.0944999997 0, 879908.0548999999 1413195.4981999993 0, 878955.6928000003 1414109.7621 0, 876974.8102000002 1415290.6817000005 0, 874584.3893999998 1416585.8881 0, 873060.6233000001 1419633.4277 0, 871841.6237000003 1421614.3045000006 0, 869403.5914000003 1425271.2802000009 0, 866203.676 1431671.0975000001 0, 865784.6551999999 1432966.3539000005 0, 865670.3678000001 1434032.9967 0, 865822.7510000002 1434794.8816999998 0, 866051.3092999998 1435975.7913000006 0, 866508.4424999999 1436585.2872000001 0, 866889.3839999996 1436966.229699999 0, 867651.267 1437461.4488999993 0, 868451.2457999997 1437690.0223999992 0, 869022.6498999996 1437842.3914 0, 869898.8202999998 1437842.3914 0, 870774.9907 1437690.0223999992 0, 871574.9530999996 1437194.803200001 0, 872451.1234999998 1436242.4370000008 0, 872908.2566 1435404.387599999 0, 872984.4482000005 1434375.8369999994 0, 872908.2566 1433042.5483 0, 872984.4482000005 1431671.1575000007 0, 873555.8521999996 1430528.3301 0, 874470.1184999999 1429461.6972000003 0, 876336.7137000002 1428585.5355999991 0, 878736.6502 1427404.6159000006 0, 880717.5329 1426833.2021999992 0, 882355.5864000004 1426071.3172999993 0, 884526.9480999997 1424280.9017999992 0, 885098.3520999998 1423442.8223 0, 886050.7141000004 1422033.3391999993 0, 886879.2566 1419671.5099999998 0, 886879.2566 1419671.5099999998 0))"
11,11,7.0,230009.308924,-1971015363.51,Or,0.0,,"POLYGON Z ((667809.4704 1462070.3198000006 0, 663542.8726000004 1459632.2561000008 0, 662933.4057999998 1455975.2404999994 0, 665371.4051000001 1449270.6052 0, 672685.4689999996 1440128.0660999995 0, 679999.5988999996 1430985.4471000005 0, 686704.1299 1420623.8761 0, 688532.6623999998 1413309.7649000008 0, 692799.1941999998 1409652.7492999993 0, 702551.2573999995 1407214.6854999997 0, 719617.5164000001 1404167.2258000001 0, 731045.7123999996 1404014.8268999998 0, 732264.7120000003 1404319.5647999998 0, 734245.5947000002 1405690.9657000005 0, 734702.7443000004 1407367.1044999994 0, 735769.3607999999 1410262.2552000005 0, 736988.3934000004 1411328.8980999999 0, 738969.3091000002 1412243.1520000007 0, 740078.7791999998 1412300.2904000003 0, 740916.8537999997 1412033.6346000005 0, 741831.1118000001 1411462.2210000008 0, 742650.1385000004 1410681.2898999993 0, 743659.6277999999 1410547.9671 0, 744688.1731000002 1410700.3359999992 0, 745431.0082999999 1411252.7036000006 0, 745545.2791999998 1411862.2094999999 0, 745259.5854000002 1412624.0944999997 0, 744631.0294000003 1413595.4967 0, 744173.9046 1414224.048800001 0, 743640.5799000002 1414909.7391999997 0, 743431.0694000004 1415633.5318999998 0, 743145.3673999999 1416890.636 0, 743031.0800000001 1418033.4634000007 0, 742650.1385000004 1418719.1437999997 0, 741964.4471000005 1419519.1209999993 0, 739754.9649 1421042.8907999992 0, 734269.4334000004 1421195.2598 0, 726345.8366999999 1422261.8427000009 0, 712784.3335999995 1426680.8133000005 0, 704860.7781999996 1433994.9244999997 0, 697851.4146999996 1442832.7256000005 0, 691451.5840999996 1449537.2808999997 0, 687185.0853000004 1458375.1319999993 0, 682004.2873 1464774.9493000004 0, 675909.2231000001 1466298.7191000003 0, 670423.6585999997 1465993.9812000003 0, 667071.3766000001 1464470.2113000005 0, 667809.4704 1462070.3198000006 0, 667809.4704 1462070.3198000006 0))"
